"","blue","dual_sim","four_g","three_g","touch_screen","wifi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
"1707","0","1","0","0","1","0","(900,1e+03]","(2,2.5]","[-0.019,3.8]","(51.6,57.8]","(0.82,1]","[79.9,92]","[0.993,2.75]","(12,16]","(1.57e+03,1.96e+03]","(1.7e+03,1.85e+03]","(1.38e+03,1.75e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","2"
"1713","1","0","0","0","0","1","(1.7e+03,1.8e+03]","[0.497,1]","(7.6,11.4]","(8.2,14.4]","(0.46,0.64]","(176,188]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(1.75e+03,2.13e+03]","(10.6,13.4]","(3.6,7.2]","(5,8]","2"
"1715","0","0","1","1","1","0","(1.6e+03,1.7e+03]","(2.5,3]","(7.6,11.4]","[1.94,8.2]","(0.64,0.82]","(128,140]","(6.25,8.01]","(8,12]","[-1.96,392]","[499,650]","(2.88e+03,3.25e+03]","(13.4,16.2]","[-0.018,3.6]","(14,17]","2"
"1717","0","0","0","0","0","1","(800,900]","(1.5,2]","[-0.019,3.8]","[1.94,8.2]","(0.46,0.64]","(188,200]","(6.25,8.01]","[-0.02,4]","(392,784]","[499,650]","(2.88e+03,3.25e+03]","(16.2,19]","[-0.018,3.6]","(11,14]","2"
"1718","1","1","0","0","1","0","(1.3e+03,1.4e+03]","(2.5,3]","[-0.019,3.8]","[1.94,8.2]","(0.64,0.82]","(188,200]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(2.88e+03,3.25e+03]","(7.8,10.6]","[-0.018,3.6]","(17,20]","2"
"1719","1","1","0","0","0","0","(601,701]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(188,200]","(2.75,4.5]","(4,8]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","(7.2,10.8]","(5,8]","2"
"1721","0","0","1","1","1","0","(1.2e+03,1.3e+03]","(2,2.5]","(3.8,7.6]","(8.2,14.4]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","(4,8]","[-1.96,392]","(1.55e+03,1.7e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","(7.2,10.8]","(11,14]","2"
"1723","1","0","1","1","0","0","(1.8e+03,1.9e+03]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","[0.0991,0.28]","(140,152]","(6.25,8.01]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","(3.6,7.2]","(17,20]","2"
"1725","1","1","1","1","1","0","(1e+03,1.1e+03]","(1.5,2]","[-0.019,3.8]","[1.94,8.2]","(0.82,1]","(128,140]","(4.5,6.25]","[-0.02,4]","(392,784]","(949,1.1e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","(10.8,14.4]","(11,14]","2"
"1727","1","1","0","1","0","0","(900,1e+03]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(152,164]","[0.993,2.75]","(4,8]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(2.5e+03,2.88e+03]","(10.6,13.4]","(7.2,10.8]","(5,8]","2"
"1733","0","1","1","1","0","1","(601,701]","[0.497,1]","(11.4,15.2]","(14.4,20.6]","(0.82,1]","(188,200]","(4.5,6.25]","(16,20]","[-1.96,392]","(1.7e+03,1.85e+03]","(2.5e+03,2.88e+03]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","2"
"1734","1","1","1","1","0","1","(1.1e+03,1.2e+03]","(2,2.5]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(128,140]","[0.993,2.75]","[-0.02,4]","(392,784]","(800,949]","(2.88e+03,3.25e+03]","(10.6,13.4]","[-0.018,3.6]","(14,17]","2"
"1738","1","0","1","1","1","0","(900,1e+03]","(1.5,2]","(3.8,7.6]","(51.6,57.8]","(0.46,0.64]","[79.9,92]","(2.75,4.5]","(4,8]","(392,784]","(650,800]","(2.5e+03,2.88e+03]","(16.2,19]","(10.8,14.4]","(14,17]","2"
"1744","1","0","0","0","0","0","(1.6e+03,1.7e+03]","(1.5,2]","[-0.019,3.8]","(39.2,45.4]","(0.46,0.64]","(176,188]","(4.5,6.25]","(4,8]","[-1.96,392]","(650,800]","(2.88e+03,3.25e+03]","(10.6,13.4]","(3.6,7.2]","(17,20]","2"
"1748","0","0","1","1","1","0","(601,701]","(1,1.5]","(7.6,11.4]","(39.2,45.4]","[0.0991,0.28]","(176,188]","(2.75,4.5]","(16,20]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(2.13e+03,2.5e+03]","(16.2,19]","[-0.018,3.6]","(8,11]","2"
"1755","1","1","1","1","1","0","(1e+03,1.1e+03]","(1.5,2]","[-0.019,3.8]","(39.2,45.4]","[0.0991,0.28]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(3.25e+03,3.62e+03]","(10.6,13.4]","(3.6,7.2]","(14,17]","2"
"1758","1","0","1","1","0","1","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","[79.9,92]","(2.75,4.5]","(8,12]","[-1.96,392]","(650,800]","(2.13e+03,2.5e+03]","(16.2,19]","(7.2,10.8]","(5,8]","2"
"1764","0","1","0","0","0","0","(900,1e+03]","(1,1.5]","(3.8,7.6]","(39.2,45.4]","(0.82,1]","(152,164]","[0.993,2.75]","(16,20]","[-1.96,392]","(800,949]","(2.88e+03,3.25e+03]","(16.2,19]","(3.6,7.2]","(8,11]","2"
"1765","1","0","1","1","0","1","(1.8e+03,1.9e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","[79.9,92]","[0.993,2.75]","(4,8]","[-1.96,392]","[499,650]","(2.5e+03,2.88e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","2"
"1766","1","0","0","0","1","1","(701,800]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","[79.9,92]","(6.25,8.01]","(8,12]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","(2.13e+03,2.5e+03]","[4.99,7.8]","[-0.018,3.6]","(17,20]","2"
"1772","1","0","1","1","1","1","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(104,116]","(6.25,8.01]","[-0.02,4]","(1.57e+03,1.96e+03]","(1.85e+03,2e+03]","(1.38e+03,1.75e+03]","(16.2,19]","(14.4,18]","(14,17]","2"
"1775","1","0","0","0","0","1","[500,601]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.82,1]","[79.9,92]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(2.88e+03,3.25e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","2"
"1777","1","1","0","0","1","0","(1e+03,1.1e+03]","(2,2.5]","(3.8,7.6]","(14.4,20.6]","(0.28,0.46]","(104,116]","(6.25,8.01]","(12,16]","[-1.96,392]","(800,949]","(2.5e+03,2.88e+03]","(13.4,16.2]","(7.2,10.8]","(14,17]","2"
"1783","1","1","1","1","0","0","(1.4e+03,1.5e+03]","(2,2.5]","[-0.019,3.8]","(20.6,26.8]","(0.28,0.46]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","(3.6,7.2]","(5,8]","2"
"1785","0","0","1","1","0","0","(601,701]","[0.497,1]","(7.6,11.4]","(26.8,33]","(0.82,1]","(140,152]","[0.993,2.75]","(12,16]","[-1.96,392]","(650,800]","(2.88e+03,3.25e+03]","(13.4,16.2]","(3.6,7.2]","[1.98,5]","2"
"1787","1","1","1","1","0","1","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(33,39.2]","(0.46,0.64]","(188,200]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(1.7e+03,1.85e+03]","(2.13e+03,2.5e+03]","[4.99,7.8]","[-0.018,3.6]","(5,8]","2"
"1800","1","0","1","1","1","1","(1.2e+03,1.3e+03]","(1,1.5]","(11.4,15.2]","(14.4,20.6]","(0.28,0.46]","(164,176]","(4.5,6.25]","(16,20]","[-1.96,392]","(949,1.1e+03]","(3.25e+03,3.62e+03]","[4.99,7.8]","(3.6,7.2]","(5,8]","2"
"1806","0","1","0","0","1","1","[500,601]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","[79.9,92]","(4.5,6.25]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(2.13e+03,2.5e+03]","[4.99,7.8]","[-0.018,3.6]","(17,20]","2"
"1820","1","1","1","1","0","1","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","[0.0991,0.28]","(152,164]","(4.5,6.25]","(8,12]","(392,784]","(949,1.1e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","(3.6,7.2]","(8,11]","2"
"1824","0","1","0","0","1","1","(1.4e+03,1.5e+03]","(1,1.5]","(11.4,15.2]","(51.6,57.8]","(0.46,0.64]","(92,104]","(4.5,6.25]","(12,16]","[-1.96,392]","(1.4e+03,1.55e+03]","(1.75e+03,2.13e+03]","(16.2,19]","(14.4,18]","(17,20]","2"
"1825","0","0","1","1","1","0","(1.7e+03,1.8e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","[79.9,92]","(4.5,6.25]","(12,16]","(392,784]","(650,800]","(2.5e+03,2.88e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","2"
"1827","1","0","0","1","0","0","(900,1e+03]","(2,2.5]","(7.6,11.4]","(51.6,57.8]","[0.0991,0.28]","(188,200]","[0.993,2.75]","(12,16]","(1.18e+03,1.57e+03]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","2"
"1833","0","1","0","0","0","1","(800,900]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(164,176]","[0.993,2.75]","[-0.02,4]","(392,784]","(1.85e+03,2e+03]","(2.88e+03,3.25e+03]","(10.6,13.4]","[-0.018,3.6]","[1.98,5]","2"
"1834","0","0","1","1","0","1","(1.1e+03,1.2e+03]","(1,1.5]","(3.8,7.6]","(39.2,45.4]","[0.0991,0.28]","(140,152]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","(3.6,7.2]","(14,17]","2"
"1835","1","0","1","1","0","0","(601,701]","(2,2.5]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(140,152]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","[499,650]","(3.25e+03,3.62e+03]","(16.2,19]","(7.2,10.8]","(17,20]","2"
"1837","0","0","1","1","1","1","(1.7e+03,1.8e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(92,104]","(6.25,8.01]","(4,8]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","(1.38e+03,1.75e+03]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","2"
"1840","0","0","1","1","1","1","(1.6e+03,1.7e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(164,176]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(1.7e+03,1.85e+03]","(2.13e+03,2.5e+03]","(10.6,13.4]","(7.2,10.8]","(11,14]","2"
"1859","1","0","0","1","1","0","(1.6e+03,1.7e+03]","(2.5,3]","[-0.019,3.8]","(8.2,14.4]","(0.82,1]","(116,128]","[0.993,2.75]","(12,16]","(392,784]","(650,800]","(2.88e+03,3.25e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","2"
"1866","1","1","1","1","0","0","(1.7e+03,1.8e+03]","[0.497,1]","(7.6,11.4]","(51.6,57.8]","(0.46,0.64]","(104,116]","(2.75,4.5]","(16,20]","(392,784]","(1.1e+03,1.25e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","[-0.018,3.6]","(8,11]","2"
"1868","1","0","0","1","0","0","(1.1e+03,1.2e+03]","(2,2.5]","(3.8,7.6]","(14.4,20.6]","(0.82,1]","(152,164]","(6.25,8.01]","(12,16]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","(1.75e+03,2.13e+03]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","2"
"1871","0","1","0","0","0","1","(1.2e+03,1.3e+03]","(1.5,2]","(7.6,11.4]","(14.4,20.6]","(0.82,1]","(164,176]","(4.5,6.25]","(12,16]","[-1.96,392]","(650,800]","(3.25e+03,3.62e+03]","(10.6,13.4]","(7.2,10.8]","(17,20]","2"
"1875","1","1","1","1","0","1","(1e+03,1.1e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","(0.82,1]","(164,176]","(6.25,8.01]","[-0.02,4]","(392,784]","[499,650]","(2.88e+03,3.25e+03]","(7.8,10.6]","(3.6,7.2]","(5,8]","2"
"1881","0","0","1","1","0","1","(1.7e+03,1.8e+03]","(1.5,2]","(15.2,19]","[1.94,8.2]","(0.64,0.82]","(176,188]","(4.5,6.25]","(16,20]","[-1.96,392]","(800,949]","(2.5e+03,2.88e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","2"
"1882","1","1","0","1","1","0","(1.8e+03,1.9e+03]","(1,1.5]","(7.6,11.4]","(26.8,33]","(0.46,0.64]","(104,116]","(4.5,6.25]","(12,16]","(392,784]","(949,1.1e+03]","(1.75e+03,2.13e+03]","(7.8,10.6]","(7.2,10.8]","(5,8]","2"
"1888","1","1","0","1","1","1","(1.7e+03,1.8e+03]","(2,2.5]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(176,188]","(2.75,4.5]","[-0.02,4]","(392,784]","[499,650]","(2.5e+03,2.88e+03]","(7.8,10.6]","[-0.018,3.6]","(8,11]","2"
"1902","1","0","0","1","0","0","(900,1e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","(0.82,1]","(188,200]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","(16.2,19]","(10.8,14.4]","(14,17]","2"
"1903","0","0","0","1","0","1","(701,800]","(1,1.5]","(7.6,11.4]","(8.2,14.4]","(0.64,0.82]","(116,128]","(2.75,4.5]","(12,16]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","(2.5e+03,2.88e+03]","(7.8,10.6]","(7.2,10.8]","(5,8]","2"
"1904","1","0","0","0","0","1","(1.3e+03,1.4e+03]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","(0.82,1]","(164,176]","(4.5,6.25]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","(7.8,10.6]","(3.6,7.2]","(14,17]","2"
"1916","0","0","0","1","1","1","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(16,20]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","(2.13e+03,2.5e+03]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","2"
"1919","0","1","1","1","0","0","(701,800]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(92,104]","(6.25,8.01]","(8,12]","[-1.96,392]","(1.7e+03,1.85e+03]","(2.5e+03,2.88e+03]","[4.99,7.8]","[-0.018,3.6]","(14,17]","2"
"1924","1","1","1","1","1","1","(1e+03,1.1e+03]","(2,2.5]","(7.6,11.4]","(33,39.2]","(0.64,0.82]","(92,104]","(2.75,4.5]","(8,12]","(784,1.18e+03]","(949,1.1e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","(3.6,7.2]","[1.98,5]","2"
"1926","1","0","0","1","1","1","(1.8e+03,1.9e+03]","[0.497,1]","(3.8,7.6]","(8.2,14.4]","(0.64,0.82]","(152,164]","(4.5,6.25]","(4,8]","(392,784]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","(13.4,16.2]","[-0.018,3.6]","(17,20]","2"
"1930","0","1","1","1","0","0","(1.6e+03,1.7e+03]","(1.5,2]","[-0.019,3.8]","(33,39.2]","[0.0991,0.28]","(92,104]","(6.25,8.01]","(4,8]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(1.75e+03,2.13e+03]","(16.2,19]","(14.4,18]","(11,14]","2"
"1935","0","0","0","0","1","0","(1.4e+03,1.5e+03]","(1.5,2]","[-0.019,3.8]","[1.94,8.2]","(0.28,0.46]","(104,116]","(2.75,4.5]","(4,8]","[-1.96,392]","(949,1.1e+03]","(2.13e+03,2.5e+03]","(16.2,19]","(3.6,7.2]","(8,11]","2"
"1938","1","0","0","0","0","1","(1.3e+03,1.4e+03]","[0.497,1]","[-0.019,3.8]","(33,39.2]","(0.64,0.82]","(128,140]","(2.75,4.5]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","(2.5e+03,2.88e+03]","(16.2,19]","[-0.018,3.6]","(17,20]","2"
"1939","1","1","1","1","0","1","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","(45.4,51.6]","(0.64,0.82]","(176,188]","[0.993,2.75]","(4,8]","(392,784]","(650,800]","(2.13e+03,2.5e+03]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","2"
"1940","1","0","1","1","0","0","(1.5e+03,1.6e+03]","(2,2.5]","(11.4,15.2]","[1.94,8.2]","(0.28,0.46]","(140,152]","(4.5,6.25]","(16,20]","[-1.96,392]","(800,949]","(2.5e+03,2.88e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","2"
"1941","0","0","1","1","1","0","(1.6e+03,1.7e+03]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(92,104]","(2.75,4.5]","(12,16]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(1.75e+03,2.13e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","2"
"1948","0","0","1","1","1","0","(1.7e+03,1.8e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(140,152]","(4.5,6.25]","(12,16]","[-1.96,392]","(949,1.1e+03]","(2.13e+03,2.5e+03]","[4.99,7.8]","(3.6,7.2]","(17,20]","2"
"1950","1","1","0","1","1","0","(701,800]","[0.497,1]","(3.8,7.6]","(57.8,64.1]","(0.46,0.64]","(152,164]","(6.25,8.01]","(4,8]","[-1.96,392]","(800,949]","(3.25e+03,3.62e+03]","[4.99,7.8]","(3.6,7.2]","(8,11]","2"
"1961","0","0","0","0","0","0","(1e+03,1.1e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","[79.9,92]","(4.5,6.25]","(4,8]","[-1.96,392]","[499,650]","(2.5e+03,2.88e+03]","(10.6,13.4]","(3.6,7.2]","(17,20]","2"
"1963","1","0","0","1","0","0","(601,701]","[0.497,1]","(7.6,11.4]","(14.4,20.6]","(0.82,1]","(104,116]","(6.25,8.01]","(16,20]","(392,784]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","(16.2,19]","(14.4,18]","(5,8]","2"
"1967","0","1","0","0","0","1","(1.5e+03,1.6e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(140,152]","[0.993,2.75]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(2.13e+03,2.5e+03]","(10.6,13.4]","(3.6,7.2]","(5,8]","2"
"1970","0","1","1","1","1","0","(601,701]","(1,1.5]","(3.8,7.6]","[1.94,8.2]","(0.46,0.64]","(140,152]","(6.25,8.01]","(16,20]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(2.5e+03,2.88e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","2"
"1971","1","0","0","1","1","0","(1.9e+03,2e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(104,116]","(4.5,6.25]","[-0.02,4]","(392,784]","(650,800]","(1.75e+03,2.13e+03]","(16.2,19]","(10.8,14.4]","(5,8]","2"
"1978","0","1","1","1","1","0","(1.3e+03,1.4e+03]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(128,140]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(800,949]","(2.13e+03,2.5e+03]","(7.8,10.6]","(3.6,7.2]","(14,17]","2"
"1983","0","0","0","0","1","0","(1.7e+03,1.8e+03]","(1.5,2]","(3.8,7.6]","(39.2,45.4]","(0.28,0.46]","(152,164]","(4.5,6.25]","(16,20]","(392,784]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","(13.4,16.2]","[-0.018,3.6]","(8,11]","2"
"1984","0","1","0","0","1","1","(1.2e+03,1.3e+03]","(1.5,2]","(11.4,15.2]","(33,39.2]","[0.0991,0.28]","(140,152]","(4.5,6.25]","(12,16]","[-1.96,392]","(650,800]","(2.88e+03,3.25e+03]","(10.6,13.4]","[-0.018,3.6]","[1.98,5]","2"
"1997","1","1","0","1","1","1","(1.9e+03,2e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","[0.0991,0.28]","(176,188]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.85e+03,2e+03]","(1.75e+03,2.13e+03]","(10.6,13.4]","(7.2,10.8]","(14,17]","2"
"7","0","0","1","1","0","1","(1.8e+03,1.9e+03]","(1.5,2]","(3.8,7.6]","(8.2,14.4]","(0.64,0.82]","(128,140]","(6.25,8.01]","(8,12]","[-1.96,392]","(949,1.1e+03]","(2.88e+03,3.25e+03]","(10.6,13.4]","(7.2,10.8]","(17,20]","3"
"11","1","1","0","0","0","0","(701,800]","(2.5,3]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(176,188]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(800,949]","(3.62e+03,4e+03]","[4.99,7.8]","[-0.018,3.6]","(5,8]","3"
"12","1","0","1","1","1","1","(1.5e+03,1.6e+03]","(2,2.5]","(3.8,7.6]","(26.8,33]","(0.46,0.64]","(176,188]","(6.25,8.01]","(16,20]","[-1.96,392]","(949,1.1e+03]","(3.62e+03,4e+03]","(13.4,16.2]","(7.2,10.8]","(11,14]","3"
"17","0","0","1","1","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(188,200]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.85e+03,2e+03]","(3.25e+03,3.62e+03]","(7.8,10.6]","(7.2,10.8]","(17,20]","3"
"18","0","1","1","1","1","0","[500,601]","[0.497,1]","(3.8,7.6]","(20.6,26.8]","[0.0991,0.28]","(116,128]","(2.75,4.5]","(16,20]","(392,784]","(800,949]","(3.62e+03,4e+03]","(7.8,10.6]","[-0.018,3.6]","(17,20]","3"
"21","0","1","0","1","1","0","(701,800]","(1,1.5]","(11.4,15.2]","(33,39.2]","(0.64,0.82]","[79.9,92]","(6.25,8.01]","(12,16]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","(2.5e+03,2.88e+03]","(16.2,19]","(14.4,18]","[1.98,5]","3"
"22","1","0","0","1","0","0","(1.7e+03,1.8e+03]","(2,2.5]","[-0.019,3.8]","(8.2,14.4]","(0.82,1]","(152,164]","[0.993,2.75]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(3.25e+03,3.62e+03]","(16.2,19]","[-0.018,3.6]","(14,17]","3"
"27","1","1","1","1","0","1","[500,601]","(1.5,2]","(3.8,7.6]","(45.4,51.6]","(0.28,0.46]","(128,140]","(2.75,4.5]","(16,20]","(392,784]","[499,650]","(3.62e+03,4e+03]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","3"
"28","0","0","1","1","1","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(140,152]","(6.25,8.01]","(4,8]","(392,784]","(949,1.1e+03]","(3.25e+03,3.62e+03]","(16.2,19]","(7.2,10.8]","(11,14]","3"
"31","1","1","0","0","0","1","(1.5e+03,1.6e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","[79.9,92]","(6.25,8.01]","(8,12]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(3.25e+03,3.62e+03]","(16.2,19]","(10.8,14.4]","(11,14]","3"
"34","1","1","1","1","1","0","(1.3e+03,1.4e+03]","(2,2.5]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(92,104]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.85e+03,2e+03]","(3.62e+03,4e+03]","[4.99,7.8]","[-0.018,3.6]","(11,14]","3"
"38","1","1","1","1","1","0","(1.7e+03,1.8e+03]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","(0.46,0.64]","(116,128]","[0.993,2.75]","(16,20]","(392,784]","(1.25e+03,1.4e+03]","(3.25e+03,3.62e+03]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","3"
"42","1","0","1","1","1","0","(1.6e+03,1.7e+03]","(2,2.5]","(7.6,11.4]","(39.2,45.4]","[0.0991,0.28]","(176,188]","[0.993,2.75]","(8,12]","(1.57e+03,1.96e+03]","(1.85e+03,2e+03]","(3.25e+03,3.62e+03]","(16.2,19]","(7.2,10.8]","(17,20]","3"
"47","1","1","0","1","0","0","(1.7e+03,1.8e+03]","(1,1.5]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(152,164]","(6.25,8.01]","(12,16]","[-1.96,392]","(1.7e+03,1.85e+03]","(3.25e+03,3.62e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","3"
"50","0","1","0","0","0","0","[500,601]","(2,2.5]","(7.6,11.4]","(57.8,64.1]","(0.64,0.82]","(104,116]","(6.25,8.01]","(12,16]","(784,1.18e+03]","(1.85e+03,2e+03]","(2.88e+03,3.25e+03]","(13.4,16.2]","(10.8,14.4]","(8,11]","3"
"53","1","1","1","1","1","0","(1.6e+03,1.7e+03]","(1,1.5]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(104,116]","[0.993,2.75]","[-0.02,4]","(392,784]","[499,650]","(2.88e+03,3.25e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","3"
"58","0","1","1","1","0","1","(900,1e+03]","(1,1.5]","[-0.019,3.8]","(57.8,64.1]","(0.28,0.46]","(104,116]","(2.75,4.5]","(8,12]","(392,784]","(800,949]","(3.62e+03,4e+03]","(7.8,10.6]","(3.6,7.2]","(17,20]","3"
"66","0","1","1","1","1","0","(601,701]","(1.5,2]","(11.4,15.2]","(39.2,45.4]","(0.64,0.82]","[79.9,92]","(2.75,4.5]","(16,20]","(392,784]","(1.55e+03,1.7e+03]","(3.25e+03,3.62e+03]","(16.2,19]","(7.2,10.8]","(11,14]","3"
"67","1","0","1","1","1","0","(1.3e+03,1.4e+03]","[0.497,1]","(7.6,11.4]","(33,39.2]","(0.28,0.46]","(152,164]","(2.75,4.5]","(12,16]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","(2.88e+03,3.25e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","3"
"68","0","0","0","0","0","0","(1.8e+03,1.9e+03]","(1,1.5]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(176,188]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.7e+03,1.85e+03]","(3.62e+03,4e+03]","(13.4,16.2]","(10.8,14.4]","(5,8]","3"
